O:O:8:37,45,53,38,39,54,26,61,44,31,62,43,52,51,46,30,29,47,63,34,59,19,25,21,60,42,12,10,22,23,11,58,57,13,3,16,14,20,1,7,24,32,15,2,49,33,40,4,41,56,55,17,50,48,5,18,8,9,0,6,
O:O:8:37,45,26,18,10,9,44,11,19,34,1,29,38,53,0,30,31,8,54,55,61,20,16,39,43,12,4,51,52,2,58,22,13,14,63,59,21,57,50,60,25,33,56,23,3,46,47,62,7,15,41,17,24,48,49,5,6,40,32,42,
O:O:8:19,18,17,43,44,53,50,42,49,20,37,45,52,61,54,63,29,16,62,41,12,21,60,57,22,4,47,30,26,33,38,15,3,14,25,5,10,34,7,13,32,31,51,9,39,11,0,24,2,55,8,40,58,1,56,48,59,46,6,23,
O:O:8:44,43,18,29,51,50,49,26,20,10,38,53,42,59,62,13,52,61,19,54,60,47,1,41,40,34,17,45,58,48,21,8,24,33,5,14,25,32,46,6,56,16,57,2,7,55,9,0,30,15,23,31,3,12,4,11,39,37,22,63,
O:X:8:37,45,19,38,39,18,52,20,10,29,17,43,51,9,21,13,11,30,26,46,31,53,55,50,57,49,5,3,60,24,54,47,1,23,4,62,42,61,12,2,8,16,25,0,48,63,44,6,14,32,22,33,34,15,41,58,59,40,7,56,
O:X:8:19,18,26,34,33,20,44,32,11,10,25,17,2,1,24,52,43,9,21,3,41,16,13,49,53,6,42,29,61,60,30,22,37,62,14,7,51,15,12,59,38,23,56,46,5,4,39,47,0,50,8,48,57,45,55,58,40,31,63,54,
O:X:8:37,45,19,38,46,29,44,34,21,20,43,53,39,10,41,18,52,47,1,60,59,51,42,48,33,30,12,24,61,54,50,49,62,22,58,5,26,25,15,14,16,57,56,8,17,9,40,11,13,6,63,4,23,31,2,32,3,7,55,0,
O:O:8:26,20,13,25,21,12,19,44,52,29,18,60,34,43,5,11,53,54,3,6,41,4,30,45,2,31,7,10,37,14,1,9,63,22,38,48,42,49,56,17,24,8,16,57,61,23,40,33,59,47,50,46,55,32,39,51,58,62,15,0,
O:X:8:19,18,26,34,41,21,10,11,4,25,37,44,24,3,51,46,20,9,42,32,17,58,16,29,55,50,30,31,53,8,2,52,14,54,38,22,43,12,40,45,61,47,1,59,62,39,49,7,23,57,6,48,5,63,13,60,56,0,33,15,
O:O:8:44,43,18,29,45,37,26,20,51,34,19,53,41,25,33,48,62,50,17,24,49,58,22,61,11,63,16,9,1,30,46,39,55,42,23,21,38,13,12,54,6,4,59,0,3,2,40,52,10,31,32,14,57,47,56,15,8,5,7,60,
